CINDERACE,Cinderace
GARCHOMP,Garchomp
GENGAR,Gengar
CRAMORANT,Cramorant
ALOLANNINETALES,Alolan-Ninetales
WIGGLYTUFF,Wigglytuff
MACHAMP,Machamp
ABSOL,Absol
SLOWBRO,Slowbro
MRMIME,Mr-Mime
VENUSAUR,Venusaur
LUCARIO,Lucario
TALONFLAME,Talonflame
ELDEGOSS,Eldegoss
GRENINJA,Greninja
CRUSTLE,Crustle
SNORLAX,Snorlax
CHARIZARD,Charizard
PIKACHU,Pikachu
ZERAORA,Zeraora
GARDEVOIR,Gardevoir
BLISSEY,Blissey
BLASTOISE,Blastoise
MAMOSWINE,Mamoswine
SYLVEON,Sylveon
GREEDENT,Greedent
DECIDUEYE,Decidueye
TSAREENA,Tsareena
DRAGONITE,Dragonite
TREVENANT,Trevenant
AEGISLASH,Aegislash
HOOPA,Hoopa
DURALUDON,Duraludon
AZUMARILL,Azumarill
ESPEON,Espeon
DELPHOX,Delphox
GLACEON,Glaceon
BUZZWOLE,Buzzwole
TYRANITAR,Tyranitar
MEW,Mew
DODRIO,Dodrio
SCIZOR,Scizor
SCYTHER,Scyther
CLEFABLE,Clefable
ZOROARK,Zoroark
SABLEYE,Sableye
URSHIFUSS,Urshifu-SS,//,Single-Strike,(Red)
URSHIFURS,Urshifu-RS,//,Rapid-Strike,(Blue)
DRAGAPULT,Dragapult
COMFEY,Comfey
ZACIAN,Zacian
GOODRA,Goodra
LAPRAS,Lapras
CHANDELURE,Chandelure
UMBREON,Umbreon
LEAFEON,Leafeon
INTELEON,Inteleon
MEWTWOY,Mewtwo-Y
MEWTWOX,Mewtwo-X
BLAZIKEN,Blaziken
MIMIKYU,Mimikyu
MEOWSCARADA,Meowscarada
METAGROSS,Metagross
GYARADOS,Gyarados
MIRAIDON,Miraidon
FALINKS,Falinks
