"pokemon_id","can_exp_share","can_top_carry","can_jungle_carry","can_bottom_carry","best_lane"
7,false,true,true,false,1
6,true,false,false,false,2
8,false,true,true,false,3
10,true,false,false,false,2
5,true,false,false,true,4
3,true,false,true,true,3
9,true,false,false,false,5
11,false,false,true,true,4
12,false,true,false,false,1
15,false,false,true,true,4
13,false,true,true,true,4
14,true,false,false,false,2
19,true,false,false,true,4
17,true,false,false,false,5
20,false,true,true,false,3
18,false,false,true,false,1
21,false,false,true,true,4
22,true,false,false,false,2
25,false,false,false,true,4
23,true,true,false,false,5
27,false,false,true,true,4
26,true,false,false,true,4
28,false,true,false,false,1
29,false,false,true,false,3
30,true,true,false,false,5
31,false,true,true,false,1
33,false,false,false,true,4
34,false,true,false,false,1
35,false,false,false,true,4
36,false,false,true,true,3
37,false,false,true,true,3
38,false,true,false,false,1
39,false,true,true,false,1
40,true,false,false,true,2
41,false,true,true,false,1
42,false,true,true,false,1
44,true,false,false,false,2
45,false,false,true,false,3
47,false,false,true,false,3
46,true,false,false,false,2
48,false,false,true,false,3
2,false,true,true,false,1
74,true,true,false,true,2
58,true,false,true,true,4
1,false,false,true,true,3
78,false,false,false,true,5
60,false,true,true,false,1
50,true,false,false,false,2
54,false,false,true,true,4
63,false,true,true,false,3
53,true,false,false,true,5
72,false,true,false,false,1
51,false,true,true,true,1
67,false,true,true,false,3
57,false,false,true,true,4
52,true,false,true,true,3
59,true,false,true,false,3
70,true,false,true,true,3
55,true,false,false,false,2
62,false,true,true,false,1
68,true,true,false,false,5
65,true,false,false,true,4
61,false,false,true,false,3
64,false,true,false,false,1
66,false,true,true,false,1
77,false,false,false,true,4
56,false,true,true,true,3
71,true,false,false,false,2
69,false,false,false,true,4
76,true,false,false,false,2
73,false,true,true,false,3
75,true,false,true,true,3
79,false,true,true,false,1
24,true,false,false,false,5
4,true,false,true,true,4
16,true,true,false,true,5
49,false,false,true,true,3
32,true,false,false,false,2
43,false,true,true,false,3
80,false,true,true,false,3
81,true,true,false,true,2
83,true,false,false,false,2
84,false,false,false,true,4
86,false,true,true,false,1
87,false,false,true,false,3
88,false,true,true,false,1
89,true,false,true,true,4
90,false,true,true,false,3
85,false,false,false,true,5
91,true,false,false,false,5
92,false,false,false,true,4
93,false,true,true,false,1
94,true,false,false,false,2
95,false,false,true,true,4
96,false,true,true,false,1
97,false,false,true,true,4
98,false,true,false,false,1
99,false,false,false,true,4
82,false,true,true,false,3
100,false,true,false,false,1
