"pokemon_id","text","match_title","match_link","good_teammates"
32,"Because Hoopa heal is basically full HP heal on a 10 second cd with the caveat of your team coming back in predictable spots, Hoopa is REALLY good into sustained damage but not so great into burst.
Hoopa also works really well WITH burst so your team can dive a goal as 4 while Hoopa holds the entire opposite side of the map. ~ItsOrre",Worlds 2025 Day 1 PRX VS. Nouns Game 3,https://www.youtube.com/live/CE11i1eLXG8?si=sv32gQGSU0Go2B8C&t=21952,
11,":Venusaur: has two very distinct modes. :Venusaur_Solarbeam: lets him out range and :poke_good: almost anything in the game. Meanwhile, :Venusaur_Giga_Drain: + :Venusaur_Petal_Dance: turns him into a brawling behemoth with great :sustain_good:. Both movesets require him to :scale_meh: late into the game, so there needs to be a plan for getting him online through ganks or jungle scaling. :Venusaur:'s ult is very high :burst_good: damage and does very well into :sustain_meh: comps that make use of healing supports like :Clefable:. :Venusaur:'s poke is also special because it cannot be blocked, unlike other poke like :Inteleon_Snipe_Shot:. :Venusaur:'s main drawback is his lack of :mobility_bad:, so enemy comps with strong :dive_bad: / :engage_bad: potential can be tough to deal with alone.",,,"{""{\""reason\"": \""Decent early game and good anti-dive with its ult.\"", \""pokemon\"": \""Eldegoss\""}"",""{\""reason\"": \""Snorlax has very strong peel or engage making it flexible for supporting either moveset Venusaur wants to play.\"", \""pokemon\"": \""Snorlax\""}""}"
2,,,,{}
3,,,,{}
4,,,,{}
5,,,,{}
6,,,,{}
7,,,,{}
8,,,,{}
9,,,,{}
10,,,,{}
12,,,,{}
13,,,,{}
14,,,,{}
15,,,,{}
16,,,,{}
17,,,,{}
18,,,,{}
19,,,,{}
20,,,,{}
21,,,,{}
22,,,,{}
23,,,,{}
24,,,,{}
25,,,,{}
26,,,,{}
27,,,,{}
28,,,,{}
29,,,,{}
30,,,,{}
31,,,,{}
33,,,,{}
34,,,,{}
35,,,,{}
36,,,,{}
37,,,,{}
38,,,,{}
39,,,,{}
40,,,,{}
41,,,,{}
42,,,,{}
43,,,,{}
44,,,,{}
45,,,,{}
46,,,,{}
47,,,,{}
48,,,,{}
49,,,,{}
50,,,,{}
51,,,,{}
52,,,,{}
53,,,,{}
54,,,,{}
55,,,,{}
56,,,,{}
57,,,,{}
58,,,,{}
59,,,,{}
60,,,,{}
61,,,,{}
62,,,,{}
63,,,,{}
64,,,,{}
65,,,,{}
66,,,,{}
67,,,,{}
68,,,,{}
69,,,,{}
70,,,,{}
71,,,,{}
72,,,,{}
73,,,,{}
74,,,,{}
75,,,,{}
76,,,,{}
77,,,,{}
78,,,,{}
79,,,,{}
80,,,,{}
81,,,,{}
82,,,,{}
83,,,,{}
84,,,,{}
85,,,,{}
86,,,,{}
87,,,,{}
88,,,,{}
89,,,,{}
90,,,,{}
91,,,,{}
92,,,,{}
93,,,,{}
94,,,,{}
95,,,,{}
96,,,,{}
97,,,,{}
98,,,,{}
99,,,,{}
1,":Cinderace: is an ADC that excels at taking down the enemy's bulky frontline. Cinderace does need to :scale_meh: for a decent amount of time (level 11), but it can deal good damage throughout the game if given the space to do so. This Pokemon also has the unique ability to :rip_objectives_good: very quickly and also :secure_good: as well. :Cinderace_Pyro_Ball: lets Cinderace play a bit safer and have better :burst_meh: while :Cinderace_Blaze_Kick: lets Cinderace shred bulky frontlines.",,,"{""{\""reason\"": \""Articuno is able to control a lot of space and stun enemies that get too close. Giving Cinderace a lot of space to work with.\"", \""pokemon\"": \""Articuno\""}"",""{\""reason\"": \""Blissey is able to protect the squishy Cinderace with its ult but also buff it massively with helping hand.\"", \""pokemon\"": \""Blissey\""}""}"
100,"","","",{}
