"pokemon_id","mobility","range","bulk","damage","damage_consistency","damage_area","cc","play_style","classification","special_attributes","level_strength"
3,,,,,,,,,,{},
4,,,,,,,,,,{},
5,,,,,,,,,,{},
6,,,,,,,,,,{},
7,,,,,,,,,,{},
8,,,,,,,,,,{},
9,,,,,,,,,,{},
10,,,,,,,,,,{},
12,,,,,,,,,,{},
13,,,,,,,,,,{},
14,,,,,,,,,,{},
15,,,,,,,,,,{},
16,,,,,,,,,,{},
17,,,,,,,,,,{},
18,,,,,,,,,,{},
19,,,,,,,,,,{},
20,,,,,,,,,,{},
21,,,,,,,,,,{},
22,,,,,,,,,,{},
23,,,,,,,,,,{},
24,,,,,,,,,,{},
25,,,,,,,,,,{},
26,,,,,,,,,,{},
27,,,,,,,,,,{},
28,,,,,,,,,,{},
29,,,,,,,,,,{},
30,,,,,,,,,,{},
31,,,,,,,,,,{},
32,,,,,,,,,,{},
33,,,,,,,,,,{},
34,,,,,,,,,,{},
35,,,,,,,,,,{},
36,,,,,,,,,,{},
37,,,,,,,,,,{},
38,,,,,,,,,,{},
39,,,,,,,,,,{},
40,,,,,,,,,,{},
41,,,,,,,,,,{},
42,,,,,,,,,,{},
43,,,,,,,,,,{},
44,,,,,,,,,,{},
45,,,,,,,,,,{},
46,,,,,,,,,,{},
47,,,,,,,,,,{},
48,,,,,,,,,,{},
49,,,,,,,,,,{},
50,,,,,,,,,,{},
51,,,,,,,,,,{},
52,,,,,,,,,,{},
53,,,,,,,,,,{},
54,,,,,,,,,,{},
55,,,,,,,,,,{},
56,,,,,,,,,,{},
57,,,,,,,,,,{},
58,,,,,,,,,,{},
59,,,,,,,,,,{},
60,,,,,,,,,,{},
61,,,,,,,,,,{},
62,,,,,,,,,,{},
63,,,,,,,,,,{},
64,,,,,,,,,,{},
65,,,,,,,,,,{},
66,,,,,,,,,,{},
67,,,,,,,,,,{},
68,,,,,,,,,,{},
69,,,,,,,,,,{},
70,,,,,,,,,,{},
71,,,,,,,,,,{},
72,,,,,,,,,,{},
73,,,,,,,,,,{},
74,,,,,,,,,,{},
75,,,,,,,,,,{},
76,,,,,,,,,,{},
77,,,,,,,,,,{},
78,,,,,,,,,,{},
79,,,,,,,,,,{},
80,,,,,,,,,,{},
81,,,,,,,,,,{},
82,,,,,,,,,,{},
83,,,,,,,,,,{},
84,,,,,,,,,,{},
85,,,,,,,,,,{},
86,,,,,,,,,,{},
87,,,,,,,,,,{},
88,,,,,,,,,,{},
89,,,,,,,,,,{},
90,,,,,,,,,,{},
91,,,,,,,,,,{},
92,,,,,,,,,,{},
93,,,,,,,,,,{},
94,,,,,,,,,,{},
95,,,,,,,,,,{},
96,,,,,,,,,,{},
97,,,,,,,,,,{},
98,,,,,,,,,,{},
99,,,,,,,,,,{},
2,2,1,3,5,0,SingleTarget,2,Brawl,ADC,{},
1,2,3,1,5,0,SingleTarget,1,Teamfight,ADC,{Secure},"{""{\""level\"": 1, \""explanation\"": \""Scorbunny's auto attacks actually do a surprising amount of damage at level 1 compared to many other characters and it has good range comparatively at this level.\"", \""relative_power\"": 5}"",""{\""level\"": 2, \""explanation\"": null, \""relative_power\"": 5}"",""{\""level\"": 3, \""explanation\"": null, \""relative_power\"": 5}"",""{\""level\"": 4, \""explanation\"": null, \""relative_power\"": 4}"",""{\""level\"": 5, \""explanation\"": \""Most other characters are spiking and Raboot doesn't change much at 5. Poor secure is starting to become more of an issue.\"", \""relative_power\"": 3}"",""{\""level\"": 6, \""explanation\"": null, \""relative_power\"": 3}"",""{\""level\"": 7, \""explanation\"": \""Level 7 is a big spike. Pyro Ball and Blaze Kick are game changers, allowing Cinderace to do lots of damage.\"", \""relative_power\"": 6}"",""{\""level\"": 8, \""explanation\"": \""Cinderace gets access to key mobility spells, but they aren't a big game changer.\"", \""relative_power\"": 6}"",""{\""level\"": 9, \""explanation\"": \""Cinderace ult offers a massive attack speed amp and great secure for key objectives.\"", \""relative_power\"": 7}"",""{\""level\"": 10, \""explanation\"": null, \""relative_power\"": 7}"",""{\""level\"": 11, \""explanation\"": \""Level 11 is Cinderace's biggest spike. Pyro Ball+ and Blaze Kick+ enable this Pokemon extremely well.\"", \""relative_power\"": 8}"",""{\""level\"": 12, \""explanation\"": null, \""relative_power\"": 8}"",""{\""level\"": 13, \""explanation\"": \""Cinderace scales well, but the super scalers are now stronger than Cinderace.\"", \""relative_power\"": 7}"",""{\""level\"": 14, \""explanation\"": null, \""relative_power\"": 7}"",""{\""level\"": 15, \""explanation\"": null, \""relative_power\"": 7}""}"
