"tier_name","pokemon_id"
B,30
B,27
B,61
B,50
B,1
B,57
B,48
B,76
B,79
B,69
B,65
C,11
C,86
C,19
C,5
C,6
C,3
C,87
C,22
C,90
C,21
C,39
C,80
C,12
C,81
S,75
S,23
A,17
A,91
A,89
A,40
A,92
A,55
A,8
A,63
A,2
A,70
A,16
A,15
A,13
S,60
S,97
S,93
S,24
S,78
S,94
A,32
A,25
A,71
A,14
A,38
S,99
A,47
A,88
A,67
B,7
A,56
B,73
B,9
B,41
B,10
B,84
B,53
B,59
B,35
B,74
B,46
B,98
B,77
B,45
B,31
C,28
C,33
C,26
C,95
C,49
C,96
D,82
D,34
D,58
D,68
D,42
D,37
D,54
D,36
D,52
D,83
D,51
D,4
D,72
E,18
E,44
E,43
E,20
E,29
E,64
E,62
E,66
F,85
F,100
