"match_id","set_id","team_1_comp_id","team_2_comp_id","team_1_ban_1","team_2_ban_1","team_1_ban_2","team_2_ban_2","team_1_player_1","team_1_player_2","team_1_player_3","team_1_player_4","team_1_player_5","team_2_player_1","team_2_player_2","team_2_player_3","team_2_player_4","team_2_player_5","team_1_id","team_2_id"
1,1,1,2,64,30,66,39,1,2,3,4,5,6,7,8,9,10,1,2
2,1,3,4,30,64,50,39,8,9,6,10,7,2,5,1,3,4,2,1
3,1,5,6,64,30,66,25,2,4,3,1,5,6,7,10,9,8,1,2
4,2,7,8,55,39,25,30,11,12,13,14,15,16,17,18,19,20,3,4
5,2,9,10,30,39,66,55,20,16,17,19,18,13,15,11,12,14,4,3
6,3,11,12,25,55,39,41,21,22,23,24,25,43,26,27,28,29,5,6
7,3,13,14,41,25,40,39,26,28,29,43,27,25,21,23,22,24,6,5
8,4,15,16,30,39,25,11,6,9,8,10,7,43,29,28,26,27,2,6
9,4,17,18,39,30,22,66,26,28,27,43,29,8,7,6,9,10,6,2
10,5,19,20,55,39,25,4,13,14,12,11,15,30,31,32,33,34,3,7
11,5,21,22,55,56,25,66,15,12,13,11,14,30,31,32,33,34,3,7
12,5,23,24,55,56,22,66,15,14,13,12,11,30,32,31,33,34,3,7
13,6,25,26,4,55,56,39,25,24,22,21,23,35,36,37,38,39,5,8
14,6,27,28,4,55,56,39,25,21,23,24,22,37,39,38,35,36,5,8
15,6,29,30,4,55,56,66,25,24,21,23,22,38,37,35,36,39,5,8
16,7,31,32,55,32,39,50,11,15,12,13,14,43,28,29,26,27,3,6
17,7,33,34,55,50,39,41,11,12,13,14,15,29,28,27,26,43,3,6
18,7,35,36,55,50,22,66,15,14,13,12,11,43,26,29,28,27,3,6
19,8,37,38,30,56,39,66,38,35,37,36,39,14,13,11,12,15,8,3
20,8,39,40,55,30,22,39,11,12,13,14,15,35,39,37,38,36,3,8
21,9,41,42,4,55,56,66,23,24,21,25,22,38,37,39,36,35,5,8
22,9,43,44,4,55,56,66,25,21,22,24,23,38,37,35,36,39,5,8
23,9,45,46,55,4,63,66,36,38,37,39,35,24,23,25,21,22,8,5
24,9,47,48,4,55,56,66,23,25,21,24,22,38,37,35,36,39,5,8
25,10,49,50,4,55,16,66,22,21,23,25,24,38,36,37,35,39,5,8
